old_level	old_phase	old_alias	disposition	new_phase	new_level	new_alias	owner	purpose	oracle	reason
Product	Specification	accessibility-needs	retained	Specification	Product	accessibility-needs	Product accessibility authority	Carry representative disability access needs into first-release scope.	Accepted accessibility research identifies affected consumers, tasks, barriers, required accommodations, and traceable capability decisions.	Mapped by the accepted literal semantic and domain audit
Product	Specification	data-retention	retained	Specification	Product	data-retention	Product data steward	Define how long Product data remains available for its operational purpose.	Accepted retention schedule lists each data category, availability period, start event, archive or deletion action, and accountable owner.	Mapped by the accepted literal semantic and domain audit
Product	Specification	data-export-contract	retained	Specification	Product	data-export-contract	Product data-contract owner	Preserve consumer compatibility for exported Product data.	Accepted export contract versions formats, fields, meanings, encoding, ordering or behavior, compatibility window, and conformance fixtures.	Mapped by the accepted literal semantic and domain audit
Product	Specification	external-contract	retained	Specification	Product	external-contract	Product contract authority	Identify relied-on Product behavior that changes only under an explicit compatibility process.	Accepted public contract names input, output or behavior, consumers, stability promise, version or migration rule, and conformance evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	compatibility-boundary	retained	Specification	Product	compatibility-boundary	Product contract authority	Bound which current Product behavior must survive change.	Accepted compatibility record lists protected behavior and consumers, supported change window, allowed break process, and regression evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	invalid-input	retained	Specification	Product	invalid-input	Product safety authority	Define predictable Product behavior for invalid input.	Accepted input contract enumerates invalid classes, rejection or normalization, state effect, consumer feedback, and tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	partial-state	retained	Specification	Product	partial-state	Product resilience owner	Keep partial success observable, bounded, and recoverable.	Accepted operation contract identifies atomic and partial outcomes, committed state, compensation or resume action, feedback, and failure tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	misuse-response	retained	Specification	Product	misuse-response	Product safety authority	Define safe behavior for known unsupported use.	Accepted misuse contract names the use, detection, refusal or containment behavior, feedback, protected invariant, and test.	Mapped by the accepted literal semantic and domain audit
Product	Specification	versioning-policy	retained	Specification	Product	versioning-policy	Product contract authority	Ensure evolving public interfaces and data formats expose compatibility identity.	Accepted versioning policy names covered contracts, version syntax, compatibility semantics, change triggers, and migration or deprecation evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	web-direct-link	retained	Specification	Product	web-direct-link	Product web-platform owner	Preserve the intended page and state for direct entry through a saved or shared URL.	Accepted routing contract maps representative URLs to page, identity or authorization handling, state restoration, not-found behavior, and browser tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	web-navigation-continuity	retained	Specification	Product	web-navigation-continuity	Product web-platform owner	Preserve correct Product state across browser history navigation.	Accepted navigation contract identifies history entries, state reconstructed or retained, unsaved-work behavior, and Back/Forward tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	web-refresh-continuity	retained	Specification	Product	web-refresh-continuity	Product web-platform owner	Decide which in-progress work survives a page refresh.	Accepted continuity contract lists preserved and discarded state, storage authority and lifetime, recovery feedback, and refresh tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	web-storage-lifetime	retained	Specification	Product	web-storage-lifetime	Product data steward	Bound reuse and removal of browser-stored Product data.	Accepted browser-data contract names each store and category, reuse period, refresh or deletion trigger, privacy basis, and tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	web-browser-support	retained	Specification	Product	web-browser-support	Product web-platform owner	Fix the browser compatibility matrix and support window.	Accepted support policy names browser families and minimum versions, support duration, test matrix, and unsupported-browser behavior.	Mapped by the accepted literal semantic and domain audit
Product	Specification	web-offline-promise	retained	Specification	Product	web-offline-promise	Product web-platform owner	Bound useful Product behavior without network access.	Accepted offline contract names supported tasks and data, entry conditions, stale-state signal, synchronization or conflict behavior, and offline tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	desktop-os-integration	retained	Specification	Product	desktop-os-integration	Product desktop-platform owner	Select required operating-system integrations for a desktop Product.	Accepted integration contract names each OS capability, supported targets, permission or lifecycle behavior, fallback, and platform tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	mobile-form-factor	retained	Specification	Product	mobile-form-factor	Product mobile-platform owner	Preserve task continuity through mobile size, orientation, or form changes.	Accepted adaptive-behavior contract identifies affected tasks, state and layout invariants, interruption behavior, and device-class tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	desktop-target-os	retained	Specification	Product	desktop-target-os	Product desktop-platform owner	Fix supported desktop operating systems, versions, and retirement window.	Accepted support policy names OS families and minimum versions, architecture where material, support period, test evidence, and deprecation rule.	Mapped by the accepted literal semantic and domain audit
Product	Specification	mobile-target-os	retained	Specification	Product	mobile-target-os	Product mobile-platform owner	Fix supported mobile operating systems, versions, and retirement window.	Accepted support policy names OS families and minimum versions, device constraints where material, support period, test evidence, and deprecation rule.	Mapped by the accepted literal semantic and domain audit
Product	Specification	cli-invocation-contract	retained	Specification	Product	cli-invocation-contract	Product CLI contract owner	Preserve compatible command invocation for human and automated consumers.	Accepted CLI contract versions command names, arguments, options, input sources, parsing rules, deprecation window, and conformance tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	cli-machine-output	retained	Specification	Product	cli-machine-output	Product CLI contract owner	Preserve script-consumable command output independently of display prose.	Accepted CLI contract names machine formats, schemas, stream choice, versioning, stability promise, and fixture-based tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	cli-exit-status	retained	Specification	Product	cli-exit-status	Product CLI contract owner	Give automation stable status distinctions for command outcomes.	Accepted CLI contract maps each outcome class to an exit code, stdout/stderr behavior, and executable tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	library-public-contract	retained	Specification	Product	library-public-contract	Product library API owner	Preserve the callable contract relied on by library or SDK consumers.	Accepted API contract versions exported functions, classes, types and behavior, runtime errors, compatibility window, and consumer or conformance tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	network-standard	retained	Specification	Product	network-standard	Product protocol authority	Fix the published protocol or networking standard the Product implements.	Accepted protocol record cites exact standard, edition and profiles or options, applicability, deviations, and conformance evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	network-peer-compatibility	retained	Specification	Product	network-peer-compatibility	Product protocol authority	Bound the peers with which the Product must interoperate.	Accepted interoperability matrix names peer products or device classes and versions, message paths, required outcomes, and test evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	network-registry	retained	Specification	Product	network-registry	Product protocol authority	Use the authoritative registry for protocol names and numeric values.	Accepted protocol record cites the registry and namespace, assigned or reserved values, allocation status, and automated validation where possible.	Mapped by the accepted literal semantic and domain audit
Product	Specification	network-negotiation	retained	Specification	Product	network-negotiation	Product protocol authority	Define how peers choose a mutually supported protocol feature or version.	Accepted negotiation contract lists advertised values, selection rule, downgrade or incompatibility response, protected invariant, and peer tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	authorization-rule	retained	Specification	Product	authorization-rule	Product authorization authority	Decide who or what may perform each protected Product action.	Accepted authorization matrix maps subject attributes or roles and resource conditions to allow/deny outcomes, default behavior, and tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	audit-evidence	retained	Specification	Product	audit-evidence	Product security authority	Preserve tamper-resistant evidence for sensitive Product actions.	Accepted audit contract names actions, actor and target fields, time and outcome, integrity control, access and retention, and audit tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	abuse-case	retained	Specification	Product	abuse-case	Product abuse-risk owner	Select realistic harmful misuse that Product controls must address.	Accepted abuse case names actor, path, preconditions, harmed party or asset, severity basis, prevention or containment, and validation evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	safe-failure	retained	Specification	Product	safe-failure	Product safety authority	Define the invariant that must survive a serious Product failure.	Accepted failure contract states the invariant, covered failures, containment and recovery behavior, observable signal, and fault-injection or rehearsal evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	personal-data	retained	Specification	Product	personal-data	Product privacy authority	Inventory personal and sensitive data crossing the Product boundary.	Accepted data inventory lists each category, source, purpose, processing, storage, recipient, location, sensitivity, and lawful or policy basis.	Mapped by the accepted literal semantic and domain audit
Product	Specification	data-minimization	retained	Specification	Product	data-minimization	Product privacy authority	Remove personal or sensitive data not needed for the intended outcome.	Accepted minimization review maps each collected field to a necessary purpose and records removal, aggregation, or approved justification for every excess item.	Mapped by the accepted literal semantic and domain audit
Product	Specification	consent-duty	retained	Specification	Product	consent-duty	Product privacy authority	Identify personal-data processing that requires valid consent.	Accepted consent contract names processing purpose and data, affected people, capture and withdrawal mechanism, evidence retained, and jurisdiction or policy basis.	Mapped by the accepted literal semantic and domain audit
Product	Specification	privacy-retention	retained	Specification	Product	privacy-retention	Product privacy authority	Cap retention of personal or sensitive data under law, policy, or commitment.	Accepted privacy schedule cites the governing basis, category, maximum period, start event, exception, disposal method, and proof of deletion.	Mapped by the accepted literal semantic and domain audit
Product	Specification	privacy-deletion	retained	Specification	Product	privacy-deletion	Product privacy authority	Define requests and lifecycle events that require protected-data deletion.	Accepted deletion contract names trigger, deadline, covered stores and copies, exceptions, verification method, consumer response, and audit evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	data-disclosure	retained	Specification	Product	data-disclosure	Product privacy authority	Control release of protected data beyond its current trust boundary.	Accepted disclosure rule names recipient, purpose, data, authorization or legal basis, minimization, transfer protection, record, and denial behavior.	Mapped by the accepted literal semantic and domain audit
Product	Specification	mobile-permission	retained	Specification	Product	mobile-permission	Product mobile-platform owner	Map sensitive device access to the Product capability that requires it.	Accepted permission matrix names capability, platform permission, access timing, data or device feature reached, and denied-state behavior.	Mapped by the accepted literal semantic and domain audit
Product	Specification	mobile-permission-purpose	retained	Specification	Product	mobile-permission-purpose	Product privacy authority	Give each sensitive mobile permission a concrete user-visible benefit.	Accepted permission rationale links every requested permission to a necessary feature and plain-language just-in-time explanation, with review evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	mobile-permission-revocation	retained	Specification	Product	mobile-permission-revocation	Product mobile-platform owner	Preserve safe and useful behavior after a mobile permission is removed.	Accepted permission contract lists capabilities retained, degraded, blocked, or recoverable after revocation, state handling, feedback, and device tests.	Mapped by the accepted literal semantic and domain audit
Product	Specification	service-workload-range	retained	Specification	Product	service-workload-range	Product service owner	Bound service correctness across expected and exceptional demand.	Accepted workload contract specifies request or job mix, rates, bursts, concurrency, payload ranges, duration, overload behavior, and measured evidence.	Mapped by the accepted literal semantic and domain audit
Product	Specification	accessibility-target	retained	Specification	Product	accessibility-target	Product accessibility authority	Fix the accessibility standard and conformance level for acceptance.	Accepted accessibility contract cites the exact standard, version, level, covered surfaces and exceptions, and accountable approval.	Mapped by the accepted literal semantic and domain audit
Product	Specification	end-to-end-evidence	retained	Specification	Product	end-to-end-evidence	Product validation authority	Select the complete Product outcomes requiring trigger-to-result proof.	Accepted evidence plan maps each selected outcome to representative environment, data and actor, full path, observable result, and executable or rehearsed test.	Mapped by the accepted literal semantic and domain audit
Product	Specification	accessibility-evidence	retained	Specification	Product	accessibility-evidence	Product accessibility authority	Define proof that the Product meets its accessibility target.	Accepted evidence set maps applicable criteria to automated checks, expert review and representative assistive-technology or user testing, with findings resolved.	Mapped by the accepted literal semantic and domain audit
Product	Specification	user-validation	retained	Specification	Product	user-validation	Product research owner	Identify consequential behavior or experience claims needing representative-consumer validation.	Accepted research plan names each claim, representative participants and tasks, method, success or disconfirming evidence, and recorded findings.	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	release-channel	retained	Specification	Product	release-channel	Product distribution-contract owner	Map each intended consumer or system to a supported acquisition channel and release identity	Each intended consumer obtains and identifies the supported release, or gets an explicit unsupported refusal	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	dependency-unavailable	retained	Product Lifecycle	Product	dependency-unavailable	Product continuity-promise owner	Define actor-visible behavior during temporary dependency unavailability	Affected actors observe bounded degradation or safe refusal, then a named recovery path	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	failure-visibility	merged	Product Lifecycle	Product	scenario-observable-outcome	Product promise owner	Define the selected perspective’s observable completion or safe-failure result	The named observation distinguishes success, safe refusal, degradation, or failure	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	failure-recovery	merged	Product Lifecycle	Product	scenario-recovery-path	Product recovery-promise owner	Define actor action and restored safe Product state after failure	Protected work or state is restored, or loss is explicitly bounded and disclosed	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	deprecation-policy	merged	Product Lifecycle	Product	deprecation-transition	Product deprecation-promise owner	Provide notice, support window, successor or alternative, and end condition	Every affected consumer has timely notice and a supported path before commitment ends	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	migration-obligation	retained	Product Lifecycle	Product	migration-obligation	Product compatibility-transition owner	Identify affected consumer classes and promised supported destinations	Every affected class reaches a supported successor or alternative, or an explicit safe refusal	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	desktop-restart-state	merged	Desktop	Product	desktop-entry-lifecycle	Desktop session-continuity owner	Exercise supported Desktop entry and exit transitions	Each supported transition preserves named input or state invariants or discloses safe loss	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	mobile-interruption	retained	Mobile	Product	mobile-interruption	Mobile OS-lifecycle continuity owner	Preserve or recover work across background, suspend, termination, and relaunch	Supported work is restored to the nearest safe state and any loss is explicit	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	desktop-install	merged	Desktop	Product	desktop-install-first-run	Desktop acquisition-promise owner	Exercise install through first usable launch	The consumer reaches supported first launch or explicit safe repair	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	desktop-update	merged	Desktop	Product	desktop-update-support	Desktop installed-population evolution owner	Define installed update usability, compatibility, recovery, and support	A supported installed release reaches compatible state or explicit recovery or forward fix	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	mobile-distribution	merged	Specification	Product	release-channel	Product distribution-contract owner	Map each intended consumer or system to a supported acquisition channel and release identity	Each intended consumer obtains and identifies the supported release, or gets an explicit unsupported refusal	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	package-distribution	merged	Specification	Product	release-channel	Product distribution-contract owner	Map each intended consumer or system to a supported acquisition channel and release identity	Each intended consumer obtains and identifies the supported release, or gets an explicit unsupported refusal	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	data-processing-health	retained	Data	Product	data-processing-health	Data outcome-health owner	Define use-time health of scheduled or continuous Product output	A named quality, freshness, or completeness signal maps to use, degrade, or stop action	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-actor-source	merged	Product Lifecycle	Product	scenario-initiator	Product scenario-record owner	Identify the scenario initiator	One actor, system, schedule, or lifecycle source is named	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-precondition-context	retained	Product Lifecycle	Product	scenario-precondition-context	Product scenario-record owner	Bind the selected scenario to a concrete starting state and context	One valid and observable starting context is recorded	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-trigger-stimulus	merged	Product Lifecycle	Product	scenario-trigger	Product scenario-record owner	Identify the exact starting event	One external or temporal event separates the before and after states	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-affected-artifact	excluded							Derived from the active Product and registered Implementation
Product	Lifecycle and Use Cases	scenario-main-flow	merged	Product Lifecycle	Product	scenario-interaction-flow	Product scenario promise owner	Describe the implementation-neutral actor interaction for the selected path	The interaction reaches that scenario’s observable outcome from its trigger	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-alternate-flow	merged	Product Lifecycle	Product	scenario-interaction-flow	Product scenario promise owner	Describe the implementation-neutral actor interaction for the selected path	The interaction reaches that scenario’s observable outcome from its trigger	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-invalid-path	retained	Product Lifecycle	Product	scenario-invalid-path	Product refusal-promise owner	Define one invalid, unauthorized, or unsupported case and safe refusal	The actor sees explicit refusal and protected state remains unchanged except accepted audit or security effects	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-failure-path	retained	Product Lifecycle	Product	scenario-failure-path	Product failure-promise owner	Identify an actor-visible failure for the selected scenario	The selected failure can be induced and observed by the affected actor	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-recovery-path	retained	Product Lifecycle	Product	scenario-recovery-path	Product recovery-promise owner	Define actor action and restored safe Product state after failure	Protected work or state is restored, or loss is explicitly bounded and disclosed	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-state-data-change	retained	Product Lifecycle	Product	scenario-state-data-change	Product state-invariant owner	Define allowed and forbidden state or data effects	Observed effects match the accepted change and invariant	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-handoff	retained	Product Lifecycle	Product	scenario-handoff	Product handoff-promise owner	Define responsibility and information transfer	Sender, receiver, transferred item, accepted receipt, and failure are observable	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-observable-outcome	retained	Product Lifecycle	Product	scenario-observable-outcome	Product promise owner	Define the selected perspective’s observable completion or safe-failure result	The named observation distinguishes success, safe refusal, degradation, or failure	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	scenario-invariant	retained	Product Lifecycle	Product	scenario-invariant	Product duty owner	Bind accepted duties to the selected scenario	Each accepted duty remains observable or provable throughout the scenario	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	abuse-lifecycle-scenario	retained	Product Lifecycle	Product	abuse-lifecycle-scenario	Product risk owner	Select the highest-consequence realistic abuse path	The path exercises an accepted security, privacy, or safety duty and its safe outcome	Mapped by the accepted literal semantic and domain audit
Product	Lifecycle and Use Cases	end-of-life-lifecycle-scenario	retained	Product Lifecycle	Product	end-of-life-lifecycle-scenario	Product retirement owner	Close one Product’s lifecycle commitments	No Product-owned duty remains and each affected consumer reaches a successor or explicit closure	Mapped by the accepted literal semantic and domain audit
Implementation	Problem Definition	hard-stack-constraint	retained	Problem Definition	Implementation	hard-stack-constraint	Implementation technical authority	Separate mandatory constraints from preferences	Constraint has cited source, violation consequence, and binding status	Mapped by the accepted literal semantic and domain audit
Implementation	Problem Definition	critical-dependency	retained	Problem Definition	Implementation	critical-dependency	Implementation dependency owner	Identify the dependency essential to Product outcome	Disabling it demonstrably loses or degrades a named Product result	Mapped by the accepted literal semantic and domain audit
Implementation	Problem Definition	dependency-failure	retained	Problem Definition	Implementation	dependency-failure	Implementation dependency owner	Define Product impact of dependency failure	Failure observation maps to a specific lost or reduced result	Mapped by the accepted literal semantic and domain audit
Implementation	Problem Definition	stack-license	retained	Problem Definition	Implementation	stack-license	Implementation licensing authority	Constrain stack alternatives by license duty	Cited license term permits, conditions, or excludes a stack choice	Mapped by the accepted literal semantic and domain audit
Implementation	Problem Definition	stack-portability	retained	Problem Definition	Implementation	stack-portability	Implementation technical authority	Set complete-stack portability obligation	Named target move is demonstrated with required Product behavior preserved	Mapped by the accepted literal semantic and domain audit
Implementation	Design	runtime-units	retained	Design	Implementation	runtime-units	Implementation architect	Define independently executing stack units	Runtime evidence enumerates each independently executing unit	Mapped by the accepted literal semantic and domain audit
Implementation	Design	unit-responsibility	retained	Design	Implementation	unit-responsibility	Implementation architect	Assign one responsibility to each runtime unit	Every required runtime responsibility has one accountable unit	Mapped by the accepted literal semantic and domain audit
Implementation	Design	primary-runtime-path	retained	Design	Implementation	primary-runtime-path	Implementation architect	Trace the main Product result through runtime units	A representative trigger traces to the observable Product result	Mapped by the accepted literal semantic and domain audit
Implementation	Design	background-path	retained	Design	Implementation	background-path	Implementation architect	Identify unattended work required for correctness	Failure of named background work demonstrably changes Product correctness	Mapped by the accepted literal semantic and domain audit
Implementation	Design	failure-containment	retained	Design	Implementation	failure-containment	Implementation reliability owner	Set runtime fault-containment boundaries	Injected or observed unit failure stays within accepted impact boundary	Mapped by the accepted literal semantic and domain audit
Implementation	Design	runtime-recovery	retained	Design	Implementation	runtime-recovery	Implementation reliability owner	Define state required before runtime resumes	Recovery evidence shows required state restored before normal processing	Mapped by the accepted literal semantic and domain audit
Implementation	Design	programming-languages	retained	Design	Implementation	programming-languages	Implementation technical authority	Select supported implementation languages	Each language entry has responsibility, support need, and evidence	Mapped by the accepted literal semantic and domain audit
Implementation	Design	frameworks	retained	Design	Implementation	frameworks	Implementation technical authority	Select required or compatible frameworks	Each framework entry has responsibility, compatibility need, and evidence	Mapped by the accepted literal semantic and domain audit
Implementation	Design	runtimes	retained	Design	Implementation	runtimes	Implementation technical authority	Select execution runtimes	Each runtime entry has workload responsibility and supported environment	Mapped by the accepted literal semantic and domain audit
Implementation	Design	data-stores	retained	Design	Implementation	data-stores	Implementation data architect	Select required or compatible stores	Each store has owned data responsibility and compatibility evidence	Mapped by the accepted literal semantic and domain audit
Implementation	Design	building-block-responsibility	retained	Design	Implementation	building-block-responsibility	Implementation architect	Define complete-stack responsibility and obligations	Accepted design covers boundary, interface, owner, deployment, and quality	Mapped by the accepted literal semantic and domain audit
Implementation	Design	technology-category	retained	Design	Implementation	technology-category	Implementation technical authority	Classify each stack entry	Every material entry maps to exactly one accepted category	Mapped by the accepted literal semantic and domain audit
Implementation	Design	technology-assignment	retained	Design	Implementation	technology-assignment	Implementation architect	Assign each entry to a stack responsibility	Every entry references at least one owned Implementation responsibility	Mapped by the accepted literal semantic and domain audit
Implementation	Design	technology-rationale	retained	Design	Implementation	technology-rationale	Implementation technical authority	Justify each material stack entry	Each entry has evidence, constraint, tradeoff, and reopen trigger	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	supported-versions	retained	Specification	Implementation	supported-versions	Implementation release authority	Fix supported versions and support windows for every required stack entry.	Accepted support matrix names each stack entry, supported version range, start and end dates or policy, test coverage, and deprecation rule.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	environment-model	retained	Specification	Implementation	environment-model	Implementation environment owner	Expose environment differences that alter behavior, evidence, or risk.	Accepted environment matrix lists each environment, purpose, authoritative differences, data and access boundaries, promotion path, and parity tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	configuration-source	retained	Specification	Implementation	configuration-source	Implementation configuration authority	Establish one authoritative source and precedence model for runtime configuration.	Accepted configuration contract names sources, precedence, validation, reload or restart behavior, secret handling, and provenance visible at runtime.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	runtime-restriction	retained	Specification	Implementation	runtime-restriction	Implementation platform authority	Carry operating constraints into implementation support and acceptance.	Accepted runtime matrix lists each network, locality, regional, resource or platform restriction, affected behavior, fallback or refusal, and tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	same-result-on-repeat	retained	Specification	Implementation	same-result-on-repeat	Implementation domain authority	Identify operations whose repeated identical request must preserve one end state.	Accepted operation contract defines request identity, repeated-call state and result, side-effect rule, concurrency boundary, and repeat tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	consistency-promise	retained	Specification	Implementation	consistency-promise	Implementation data architect	Define agreement and visibility timing across copies of the same data.	Accepted consistency contract identifies copies, authoritative value, read/write guarantees, staleness bound, conflict rule, and concurrent tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	stored-data-evolution	retained	Specification	Implementation	stored-data-evolution	Implementation data architect	Preserve usable stored state across format or meaning changes.	Accepted evolution contract versions schemas or semantics, names supported source versions, migration and rollback behavior, and upgrade/downgrade fixtures.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	restore-evidence	retained	Specification	Implementation	restore-evidence	Implementation operations owner	Prove implementation-managed data can be recovered after loss.	Accepted recovery evidence records backup scope and age, restore environment and steps, integrity checks, recovery targets, and dated successful rehearsal.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	data-lineage	retained	Specification	Implementation	data-lineage	Implementation data steward	Make source and transformation provenance traceable for consequential data.	Accepted lineage record maps selected data from source through each transformation and store to outputs, with queryable identifiers and verification evidence.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	data-timestamp-choice	retained	Specification	Implementation	data-timestamp-choice	Implementation data architect	Select the time semantics used when event and arrival times differ.	Accepted temporal contract names authoritative timestamps per calculation, timezone and precision, missing or conflicting-time behavior, and fixtures.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	data-ordering	retained	Specification	Implementation	data-ordering	Implementation data architect	Define ordering guarantees needed for correct processing.	Accepted ordering contract names records or events, ordering key and scope, reorder buffer or rejection behavior, and out-of-order tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	data-lateness	retained	Specification	Implementation	data-lateness	Implementation data architect	Bound correction of prior results when data arrives late.	Accepted lateness contract states allowed lateness, watermark or cutoff, recomputation behavior, result/version notification, and late-data tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	data-duplicates	retained	Specification	Implementation	data-duplicates	Implementation data architect	Prevent repeated input delivery from corrupting results.	Accepted duplicate contract defines identity and deduplication scope or idempotent effect, retention window, conflict behavior, and duplicate tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	data-replay	retained	Specification	Implementation	data-replay	Implementation data architect	Make historical reprocessing reproduce the promised result without duplicate effects.	Accepted replay contract names input snapshot and code/config identity, expected output equivalence, side-effect isolation, and repeatable replay evidence.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	data-backfill	retained	Specification	Implementation	data-backfill	Implementation data steward	Control which historical results may change after corrected or newly required data is processed.	Accepted backfill plan names affected range and outputs, transformation version, validation, consumer notification, rollback, and before/after evidence.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	data-freshness	retained	Specification	Implementation	data-freshness	Implementation data steward	Give consumers an observable signal that produced data is timely enough to use.	Accepted freshness contract defines source timestamp, age calculation and threshold, displayed or machine-readable state, stale behavior, and tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	network-intended-state	retained	Specification	Implementation	network-intended-state	Implementation network authority	Establish the authoritative declaration of desired network state.	Accepted network contract names the source, version or generation, scope, validation, conflict precedence, and audit trail.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	network-liveness	retained	Specification	Implementation	network-liveness	Implementation network operator	Define the signal used to detect responsive runtime units.	Accepted liveness contract identifies probe or heartbeat, scope, interval, timeout, failure threshold, false-positive bound, and fault tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	network-convergence	retained	Specification	Implementation	network-convergence	Implementation network operator	Define proof that affected units reached intended network state.	Accepted convergence contract names compared generation or state, population and quorum if any, deadline, observable signal, and convergence tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	network-reconciliation	retained	Specification	Implementation	network-reconciliation	Implementation network architect	Specify correction of drift between actual and intended network state.	Accepted reconciliation contract defines comparison, action, cadence or trigger, conflict and retry rules, safe bounds, and drift tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	network-stale-state	retained	Specification	Implementation	network-stale-state	Implementation network architect	Stop decisions from relying on network observations older than the safe bound.	Accepted staleness contract names observations, age source, maximum age, expired-state behavior, and clock or delay tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	safe-retry	retained	Specification	Implementation	safe-retry	Implementation domain authority	Identify failed operations that may be repeated without unsafe or incorrect effects.	Accepted retry contract defines eligible failures, request identity, effect invariant, limits and backoff, result interpretation, and fault tests.	Mapped by the accepted literal semantic and domain audit
Implementation	Specification	network-partition	retained	Specification	Implementation	network-partition	Implementation network architect	Preserve named safety properties when runtime units cannot communicate.	Accepted partition contract states protected invariants, allowed availability loss or degradation, reconciliation after healing, and partition tests.	Mapped by the accepted literal semantic and domain audit
